account_id,date,total_number_of_orders,avg_person_money,total_money
62d90cb11505f8a5fb0e4270,-20,1,20000,20000
62d909011505f8a5fb0e3db0,-29,1,20000,20000
62e612191505f85c7c7ba220,-22,1,20000,20000
62efdbe01505f8c1cf2dfd57,-2,2,59500,119000
62fe395d1505f8fb5aa4e4d9,-4,1,20000,20000
62dbe3521505f82107f133ed,-29,2,59500,119000
62dab7f51505f8a5fb0f2927,-30,1,20000,20000
62d9c0041505f8a5fb0eaad6,-22,1,20000,20000
62d8d6641505f84bf0551634,-32,1,20000,20000
62d94d3c1505f8a5fb0e79d9,-6,2,20000,40000
62e539db1505f85c7c7b1483,-21,1,20000,20000
62efbe301505f8c1cf2dec4c,-2,6,127083.3333,762500
62ee2f601505f8c1cf2d3c99,-11,1,20000,20000
62f248b31505f8c1cf2edf71,-12,1,20000,20000
62f939341505f8cc71ca2860,-7,2,257500,515000
62dcf4291505f82107f1b428,-27,6,113916.6667,683500
62f5d61d1505f8cc71c90259,-9,2,20000,40000
62ebcfc41505f8c1cf2c6039,-3,8,274750,2198000
62d81d9a1505f84bf054e223,-18,3,39666.66667,119000
62e311111505f86c9bbe69bb,-24,1,20000,20000
62e675191505f85c7c7bfc38,-3,1,20000,20000
62e4fcae1505f85c7c7ac9ea,-15,2,123750,247500
62e572861505f85c7c7b412b,-22,1,99000,99000
62dc99741505f82107f1788b,-4,8,37250,298000
62d905751505f8a5fb0e374d,-17,1,20000,20000
62d93ede1505f8a5fb0e6d60,-12,1,20000,20000
62dcfe851505f82107f1ba26,-11,4,27375,109500
62e6784f1505f85c7c7c0156,-2,3,264000,792000
62e2aef71505f86c9bbe4e05,-8,4,39750,159000
62e281b61505f86c9bbe11d7,-6,2,20000,40000
62e22a9f1505f86c9bbdb269,-25,1,20000,20000
62dba9321505f82107f1123f,-30,1,20000,20000
62e3a25a1505f86c9bbef038,-18,1,20000,20000
62f84df31505f8cc71c9c80f,-1,3,29833.33333,89500
62e5fb221505f85c7c7b860a,-21,1,20000,20000
62dcbfdb1505f82107f19205,-29,1,20000,20000
62fa58df1505f8cc71ca791e,-3,3,79333.33333,238000
62d8fff51505f84bf0552ab7,-10,29,28862.06897,837000
62db59d91505f82107f0e6c9,-30,1,49500,49500
62da00491505f8a5fb0ebd33,-31,1,20000,20000
62e326cc1505f86c9bbe74c7,-24,1,20000,20000
62efb4281505f8c1cf2de60b,-3,12,107333.3333,1288000
62e6b3c01505f85c7c7c3eb6,-19,4,210375,841500
62e7c9fa1505f8c1cf2a646a,-13,1,20000,20000
62e659391505f85c7c7bef0a,-13,1,20000,20000
62e29ef01505f86c9bbe3bde,-10,1,20000,20000
62e239ff1505f86c9bbdc220,-24,1,49500,49500
62dd88f51505f82107f209b2,-27,1,20000,20000
62e8161c1505f8c1cf2a93d6,-20,1,20000,20000
62ec6c861505f8c1cf2c83cb,-13,1,20000,20000
62ed77631505f8c1cf2cf9ae,-16,2,20000,40000
62dad3821505f8a5fb0f34bf,-30,1,20000,20000
62eefbdb1505f8c1cf2d8414,-15,1,20000,20000
62d99a361505f8a5fb0ea6d4,-25,1,20000,20000
62fcf6a21505f8fb5aa4aaa1,-2,1,20000,20000
62f608401505f8cc71c916ab,-10,1,20000,20000
62de1c181505f82107f2354b,-26,3,89166.66667,267500
62db7ce61505f82107f0fbe8,-30,1,20000,20000
62db941a1505f82107f10802,-20,1,20000,20000
62ff38061505f8fb5aa50d5b,-3,1,20000,20000
62f39a6b1505f8c1cf2f6c43,-11,1,20000,20000
62dd3ca21505f82107f1e3fc,-26,1,20000,20000
62e7ec831505f8c1cf2a82b5,-20,1,20000,20000
62e5494a1505f85c7c7b287f,-23,1,20000,20000
62e670431505f85c7c7bf5d9,-18,1,20000,20000
62e1e9ee1505f86c9bbd680f,-6,11,125136.3636,1376500
62db57831505f82107f0e58d,-10,2,257500,515000
62d917101505f8a5fb0e4c42,-30,1,20000,20000
62daccb01505f8a5fb0f3275,-30,1,20000,20000
62f864281505f8cc71c9d189,-7,1,20000,20000
